ID,用例名称,所属模块,标签,前置条件,备注,步骤描述,预期结果,编辑模式,用例等级,责任人,用例状态
,不支持行情叠加>外盘合约,/v4.1.0/行情叠加适配期权品种/,,无,无,"1. 当前处于小道指的K线图/分时图界面
2. 点击展开右菜单","1. _
2. 没有【行情叠加】入口，不支持该功能需要隐藏",STEP,P3,july,Prepare
,不支持行情叠加>黄金合约,/v4.1.0/行情叠加适配期权品种/,,无,无,"1. 当前处于黄金100g的K线图/分时图界面
2. 点击展开右菜单","1. _
2. 没有【行情叠加】入口，不支持该功能需要隐藏",STEP,P3,july,Prepare
,不支持行情叠加>证券合约,/v4.1.0/行情叠加适配期权品种/,,无,无,"1. 当前处于浦东机场的K线图/分时图界面
2. 点击展开右菜单","1. _
2. 没有【行情叠加】入口，不支持该功能需要隐藏",STEP,P3,july,Prepare
,不支持行情叠加>内盘套利合约,/v4.1.0/行情叠加适配期权品种/,,无,无,"1. 当前处于菜粕套利的K线图/分时图界面
2. 点击展开右菜单","1. _
2. 没有【行情叠加】入口，不支持该功能需要隐藏",STEP,P3,july,Prepare
,支持行情叠加>内盘期货合约,/v4.1.0/行情叠加适配期权品种/,,无,无,"1. 当前处于瓶片503的K线图/分时图界面
2. 点击展开右菜单
3. 点击【行情叠加】文本","1. _
2. 有【行情叠加】文本入口
3. 右菜单栏关闭，从页面下方成功弹出行情叠加的弹框界面",STEP,P2,july,Prepare
,支持行情叠加>内盘期权合约,/v4.1.0/行情叠加适配期权品种/,,无,无,"1. 当前处于苹果503P7600  K线图/分时图界面
2. 点击展开右菜单
3. 点击【行情叠加】文本","1. _
2. 有【行情叠加】文本入口
3. 右菜单栏关闭，从页面下方成功弹出行情叠加的弹框界面",STEP,P2,july,Prepare
,入口>页面进出,/v4.1.0/行情叠加适配期权品种/,,无,无,"1. 当前处于瓶片503的K线图/分时图界面
2. 点击展开右菜单
3. 点击【行情叠加】文本
4. 点击取消按钮
5. 重复步骤2、3
6. 点击弹框区域以外","1. _
2. _
3. 右菜单栏关闭，从页面下方成功弹出行情叠加的弹框界面
4. 行情叠加界面被关闭
5. _
6. 行情叠加界面也被关闭",STEP,P2,july,Prepare
,行情叠加框>UI校验,/v4.1.0/行情叠加适配期权品种/,,无,无,"1. 当前处于瓶片607C8500的日K线行情叠加框界面
2. 观察标题部分
3. 观察关联品种部分
4. 观察自定义部分
5. 观察两个按钮","1. _
2. 标题加粗显示“行情叠加”，右侧有个隐藏主图指标的勾选项，默认不勾选
3. 默认展示瓶片607+瓶片指数+至多4个瓶片关联的品种，两两排布占据3行，每个品种左侧有勾选框。
4. 默认右侧没有合约，自定义左侧有勾选框
5. 左侧灰底白字【取消】、右侧红底白字【开始叠加】按钮",STEP,P3,july,Prepare
,行情叠加框>默认关联品种,/v4.1.0/行情叠加适配期权品种/,,无,无,"1. 当前处于瓶片607C8500的日K线行情叠加框界面
2. 观察瓶片期权的默认关联品种
3. 切换合约到原木2701C850，同样通过右菜单进入，行情叠加框界面
4. 观察原木期权的默认关联品种指数","1. _
2. 默认展示瓶片607+瓶片指数+至多4个瓶片关联的品种，两两排布占据3行，每个品种左侧有勾选框。
3. _
4. 默认展示原木2701+原木指数+3个关联的品种，两两排布占据3行，每个品种左侧有勾选框。",STEP,P2,july,Prepare
,行情叠加框>横屏下，点击叠加,/v4.1.0/行情叠加适配期权品种/,,无,无,"1. 当前处于瓶片607C8500的横屏  日K线界面
2. 点击右菜单 - 【行情叠加】
3. 点击返回，关闭叠加框
4. 重复步骤3
5. 勾选PTA指数后，正常【开始叠加】","1. _
2. app会强制回到竖屏，出现竖屏时的叠加框进行操作
3. app返回横屏
4. app会强制回到竖屏，出现竖屏时的叠加框进行操作
5. 开始叠加后，app返回横屏，PTA日K线正确叠加在瓶片503的后方",STEP,P2,july,Prepare
,标的物行情>开启无法关闭,/v4.1.0/行情叠加适配期权品种/,,无,无,"1. app从旧版升级到新版
2. 点击进入沪金2607P1040期权合约的分时图界面
3. 观察期货版的合约名称下方
4. 尝试关闭该展示","1. _
2. 默认是期货版风格
3. 合约名称下方有标的物 沪金2607的行情信息；展示 “标的  沪金2607  最新价  涨跌  涨幅%”标的物黑色，其余3个受涨红跌绿展示颜色
4. 无法关闭",STEP,P3,july,Prepare
,标的物行情>展示位置,/v4.1.0/行情叠加适配期权品种/,,无,无,"1. 当前处于沪金2607P1040期权合约的分时图界面
2. 观察标的物行情栏位置","1. _
2. 默认显示在合约名称下方，若是打开了大单提醒，在大单提醒的上方",STEP,P3,july,Prepare
,标的物行情>刷新时机,/v4.1.0/行情叠加适配期权品种/,,无,无,"1. 当前处于沪金2607P1040期权合约的分时图界面
2. 在界面等待，观察标的物行情栏刷新","1. _
2. 行情栏内行情刷新正确，三段一致",STEP,P2,july,Prepare
,标的物行情>点击跳转,/v4.1.0/行情叠加适配期权品种/,,无,无,"1. 当前处于沪金2607P1040期权合约的分时图界面
2. 点击界面上标的物行情栏 右侧的>
3. 点击系统返回键，或者调用全局返回手势","1. _
2. 界面从沪金期权合约的行情，跳转到，标的物沪金2607合约行情界面
3. 正确返回到之前的 沪金期权合约行情？",STEP,P2,july,Prepare
,功能入口>入口位置,/v4.1.0/期货组合申请拆分/,,无,无,"1. 当前已登录了期货组合交易账号 海通期货  CTP开发 40031427 htqh61871688
2. 展开右菜单
3. 点击【期货组合】
4. 点击左上角的退出按钮，或者调用系统返回","1. _
2. _
3. 成功进入期货组合界面
4. 可以正确进出界面",STEP,P2,july,Prepare
,UI校验>多账号切换栏,/v4.1.0/期货组合申请拆分/,,1. 当前已登录了期货组合交易账号 海通期货  CTP开发 40031427 htqh61871688,无,"1. 当前处于期货组合界面
2. 尝试寻找多账户切换控件","1. _
2. 无多账号切换控件，不支持切换账号",STEP,P3,july,Prepare
,业务校验>组合类型、投保未填入、合约1、合约2不允许修改,/v4.1.0/期货组合申请拆分/,,无,无,"1. 当前处于期货组合的界面
2. 组合类型、投保尚未全部填入
3. 尝试点击下拉组合类型、合约1、合约2","1. _
2. _
3. 点击无反应，不允许修改",STEP,P2,july,Prepare
,业务校验>组合类型填写范围,/v4.1.0/期货组合申请拆分/,,无,无,"1. 测试账户中没有任何可组组合的期货持仓
2. 当前处于期货组合的界面
3. 点击下拉“组合类型”","1. _
2. _
3. 下拉选项无限制，有“组合申请”、“组合对锁”、“组合拆分”3个选项可供选择",STEP,P2,july,Prepare
,业务校验>投保填写范围,/v4.1.0/期货组合申请拆分/,,无,无,"1. 测试账户中没有任何可组组合的期货持仓
2. 当前处于期货组合的界面
3. 在组合类型未选择的前提下，尝试点击下拉“投保”
4. 在组合类型选择了“组合申请”后，尝试点击下拉“投保”","1. _
2. _
3. 下拉选项无限制，有“投机-投机”、“投机-套保”、“套保-投机”、“套保-套保”4个选项可供选择
4. 依旧下拉选项无限制",STEP,P3,july,Prepare
,业务校验>组合类型或投保更改，合约1合约2清空,/v4.1.0/期货组合申请拆分/,,1. 账户中拥有p2607（棕榈油）、c2611（玉米）多仓各5手；p2611、c2607  空仓各3手；i2605（铁矿石） 多空分别为4手、8手,无,"1. 当前处于期货组合的界面
2. 点击下拉“组合类型”
3. 点击下拉“投保”
4. 尝试下拉合约1
5. 尝试下拉合约2
6. 更改“投保”为套保-套保
7. 重复步骤2~5，更改“组合类型”为组合对锁","1. _
2. 下拉选项无限制，选择组合申请
3. 下拉选项无限制，选择投机-投机
4. 合约1选择p2607 多仓
5. 合约2选择p2611 空仓
6. 合约1、合约2都清空
7. 合约1、合约2都清空",STEP,P2,july,Prepare
,大商所期货>组合申请：买方向期货跨期组合,/v4.1.0/期货组合申请拆分/,,1. 账户中拥有p2607（棕榈油）5手；p2611、c2611  空仓各3手；i2605（铁矿石） 多空分别为4手、8手,无,"1. 当前处于期货组合的界面
2. 点击下拉“组合类型”
3. 点击下拉“投保”
4. 尝试下拉合约1
5. 尝试下拉合约2
6. 委托数量填入
7. 点击申请
8. 点击确定","1. _
2. 下拉选项无限制，选择组合申请
3. 下拉选项无限制，选择投机-投机
4. 合约1选择p2607 多仓
5. 合约2选择p2611 空仓
6. 默认手数为1，不做修改了
7. 弹框确认弹框，提示文本中写入 组合类型、投保、合约1、合约2、委托数量
8. 顶部弹框提醒：已提交，过几秒后，下方委托列表成功展示组合持仓",STEP,P2,july,Prepare
,大商所期货>组合申请：卖方向期货跨期组合,/v4.1.0/期货组合申请拆分/,,1. 账户中拥有p2607（棕榈油）5手；p2611、c2611  空仓各3手；i2605（铁矿石） 多空分别为4手、8手,无,"1. 当前处于期货组合的界面
2. 点击下拉“组合类型”
3. 点击下拉“投保”
4. 尝试下拉合约1
5. 尝试下拉合约2
6. 委托数量填入
7. 点击申请
8. 点击确定","1. _
2. 下拉选项无限制，选择组合申请
3. 下拉选项无限制，选择投机-投机
4. 合约1选择p2611 空仓
5. 合约2选择p2607 多仓
6. 默认手数为1，不做修改了
7. 弹框确认弹框，提示文本中写入 组合类型、投保、合约1、合约2、委托数量
8. 顶部弹框提醒：已提交，过几秒后，下方委托列表成功展示组合持仓",STEP,P2,july,Prepare
,大商所期货>组合申请：买方向期货跨合约组合,/v4.1.0/期货组合申请拆分/,,1. 账户中拥有p2607（棕榈油）5手；p2611、c2611  空仓各3手；i2605（铁矿石） 多空分别为4手、8手,无,"1. 当前处于期货组合的界面
2. 点击下拉“组合类型”
3. 点击下拉“投保”
4. 尝试下拉合约1
5. 尝试下拉合约2
6. 委托数量填入
7. 点击申请
8. 点击确定","1. _
2. 下拉选项无限制，选择组合申请
3. 下拉选项无限制，选择投机-投机
4. 合约1选择p2607 多仓
5. 合约2选择c2611 空仓
6. 默认手数为1，不做修改了
7. 弹框确认弹框，提示文本中写入 组合类型、投保、合约1、合约2、委托数量
8. 顶部弹框提醒：已提交，过几秒后，下方委托列表成功展示组合持仓",STEP,P2,july,Prepare
,大商所期货>组合申请：卖方向期货跨合约组合,/v4.1.0/期货组合申请拆分/,,1. 账户中拥有p2607（棕榈油）5手；p2611、c2611  空仓各3手；i2605（铁矿石） 多空分别为4手、8手,无,"1. 当前处于期货组合的界面
2. 点击下拉“组合类型”
3. 点击下拉“投保”
4. 尝试下拉合约1
5. 尝试下拉合约2
6. 委托数量填入
7. 点击申请
8. 点击确定","1. _
2. 下拉选项无限制，选择组合申请
3. 下拉选项无限制，选择投机-投机
4. 合约1选择c2611 空仓
5. 合约2选择p2607 多仓
6. 默认手数为1，不做修改了
7. 弹框确认弹框，提示文本中写入 组合类型、投保、合约1、合约2、委托数量
8. 顶部弹框提醒：已提交，过几秒后，下方委托列表成功展示组合持仓",STEP,P2,july,Prepare
,大商所期货>组合对锁：买方向,/v4.1.0/期货组合申请拆分/,,1. 账户中拥有p2607（棕榈油）5手；p2611、c2611  空仓各3手；i2605（铁矿石） 多空分别为4手、8手,无,"1. 当前处于期货组合的界面
2. 点击下拉“组合类型”
3. 点击下拉“投保”
4. 尝试下拉合约1
5. 尝试下拉合约2
6. 委托数量填入
7. 点击申请
8. 点击确定","1. _
2. 下拉选项无限制，选择组合对锁
3. 下拉选项无限制，选择投机-投机
4. 合约1选择i2605 多仓
5. 合约2选择i2605 空仓
6. 默认手数为1，不做修改了
7. 弹框确认弹框，提示文本中写入 组合类型、投保、合约1、合约2、委托数量
8. 顶部弹框提醒：已提交，过几秒后，下方委托列表成功展示组合持仓",STEP,P2,july,Prepare
,大商所期货>组合对锁：卖方向,/v4.1.0/期货组合申请拆分/,,1. 账户中拥有p2607（棕榈油）5手；p2611、c2611  空仓各3手；i2605（铁矿石） 多空分别为4手、8手,无,"1. 当前处于期货组合的界面
2. 点击下拉“组合类型”
3. 点击下拉“投保”
4. 尝试下拉合约1","1. _
2. 下拉选项无限制，选择组合对锁
3. 下拉选项无限制，选择投机-投机
4. 合约1选择不到i2605 空仓，业务限制，组合对锁只有买方向",STEP,P2,july,Prepare
,大商所期货>组合拆分,/v4.1.0/期货组合申请拆分/,,1. 账户中拥有p2607（棕榈油）5手；p2611、c2611  空仓各3手；i2605（铁矿石） 多空分别为4手、8手,无,"1. 当前处于期货组合的界面
2. 当前已组成了i2605&i2605  期货对锁组合
3. 点击下拉“组合类型”
4. 点击下拉“投保”
5. 尝试下拉合约1
6. 尝试下拉合约2
7. 委托数量填入
8. 点击申请
9. 点击确定","1. _
2. _
3. 下拉选项无限制，选择组合拆分
4. 下拉选项无限制，选择投机-投机
5. 合约1选择i2605 多仓
6. 合约2选择i2605 空仓
7. 默认手数为1，不做修改了
8. 弹框确认弹框，提示文本中写入 组合类型、投保、合约1、合约2、委托数量
9. 顶部弹框提醒：已提交，过几秒后，下方委托列表成功展示组合持仓",STEP,P2,july,Prepare
,广商所期货>组合申请：买方向期货跨期组合,/v4.1.0/期货组合申请拆分/,,1. 账户中拥有ps2607（多晶硅）5手；ps2611、si2611  空仓各3手；lc2605（碳酸锂） 多空分别为4手、8手,无,"1. 当前处于期货组合的界面
2. 点击下拉“组合类型”
3. 点击下拉“投保”
4. 尝试下拉合约1
5. 尝试下拉合约2
6. 委托数量填入
7. 点击申请
8. 点击确定","1. _
2. 下拉选项无限制，选择组合申请
3. 下拉选项无限制，选择投机-投机
4. 合约1选择ps2607 多仓
5. 合约2选择ps2611 空仓
6. 默认手数为1，不做修改了
7. 弹框确认弹框，提示文本中写入 组合类型、投保、合约1、合约2、委托数量
8. 顶部弹框提醒：已提交，过几秒后，下方委托列表成功展示组合持仓",STEP,P2,july,Prepare
