ID,用例名称,所属模块,标签,前置条件,备注,步骤描述,预期结果,编辑模式,用例等级,责任人,用例状态,test
,设置>默认值：期货版,/3.7.0/证券风格/,,无,无,"1. 进入设置界面
2. 观察证券风格设置开关",2. 默认期货版风格,STEP,P3,july,Prepare,未定义此列头内容
,设置>从K线处设置需返回主页,/3.7.0/证券风格/,,无,无,"1. 当前处于合约详情页
2. 进入右菜单，设置更改为证券风格
3. 点击返回
4. 重新进入合约详情页","3. 直接退出了合约详情页
4. 合约详情页更改为证券风格成功",STEP,P3,july,Prepare,未定义此列头内容
,设置>EstarX设置后需重启,/3.7.0/证券风格/,,1. 使用EstarX测试,无,"1. 当前处于合约详情页
2. 进入右菜单，设置更改为证券风格
3. 点击返回
4. 重新进入合约详情页","3. 直接退出了合约详情页
4. 合约详情页更改为证券风格成功",STEP,P3,july,Prepare,未定义此列头内容
,界面>标题栏>合约名过长缩小字体,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格页面
2. 观察“黄金100g(T+D)”的合约名称",2. 合约名称自适应缩小了字体,STEP,P3,july,Prepare,未定义此列头内容
,界面>标题栏>合约名过长截断,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格页面
2. 观察“极性套利-鸡蛋2501*200-玉米2501*146-豆粕2501*46”的合约名称",2. 合约名称显示不下，截断了,STEP,P3,july,Prepare,未定义此列头内容
,界面>标题栏>左右切换键,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 自选合约中只有1个合约
2. 点击进入该合约
3. 观察证券风格的左右切换键
4. 尝试点击按钮
5. 添加入更多合约进入自选
6. 重复步骤2、3、4","4. 由于仅有单合约，点击无效
6. 多合约存在，可以正常、循环切换",STEP,P3,july,Prepare,未定义此列头内容
,界面>标题栏>M主力标记,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 进入任意主力合约中
2. 观察主力标识",2. 正确显示在合约名右侧，不与右侧的三角切换按钮重叠,STEP,P3,july,Prepare,未定义此列头内容
,界面>标题栏>合约选择框,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格页面
2. 点击标题栏",2. 正确弹出老板合约选择框,STEP,P2,july,Prepare,未定义此列头内容
,界面>右菜单>界面左推,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格页面
2. 打开右菜单
3. 关闭右菜单","2. 界面往左推，而非遮挡（EstarX可以是遮挡）
3. 界面恢复",STEP,P3,july,Prepare,未定义此列头内容
,界面>盘口>不关联报价内容设置,/3.7.0/证券风格/,,1. 设置中已经开启了证券风格,无,"1. 当前处于证券风格页面
2. 设置中更改【图表页面报价内容】为任意设置
3. 返回证券风格页面",3. 盘口处不做任何改变，不关联此设置,STEP,P3,july,Prepare,未定义此列头内容
